MAE,RMSE,Burst_Precision,Burst_Recall,Burst_Lead_Time,Forecast_Latency_ms,model,horizon
5.5,15.890248582070704,0.0,0.0,0.0,0.0011199992150068283,Naive,5
9.305357142857142,18.758560120812113,0.0,0.0,0.0,0.013833999109920114,MA,5
7.599999678979287,17.070786880102553,0.0,0.0,0.0,0.11018400138709694,EMA,5
7.800981204500641,12.157217981048822,0.0,0.0,0.0,6.038682000071276,ARIMA,5
43.395240478515625,43.797450839237094,0.02,1.0,0.0,2.4072700005490333,XGBoost,5
3.3784616913941803,7.547255203792963,1.0,0.0,0.0,8.710240000218619,Hybrid,5
5.111111111111111,15.01850710142508,0.0,1.0,0.0,0.0011422221885166233,Naive,10
9.339285714285714,18.329805048551766,0.0,1.0,0.0,0.013484443964747092,MA,10
7.444442322175856,16.39484216676595,0.0,1.0,0.0,0.05652666602852858,EMA,10
8.24970430771656,9.15101392648929,0.0,1.0,0.0,6.094257778345814,ARIMA,10
44.12397605048285,44.140436045695296,0.0,1.0,0.0,3.184644444910292,XGBoost,10
2.6259010348114438,2.697785216957797,0.0,1.0,0.0,8.68113777800722,Hybrid,10
9.2,20.149441679609886,0.0,1.0,0.0,0.0012600002810359001,Naive,30
16.810714285714283,24.59201406172835,0.0,1.0,0.0,0.013991999439895153,MA,30
13.39521246402214,21.995986640564876,0.0,1.0,0.0,0.029719998128712177,EMA,30
9.374910497748404,9.425249231857,0.0,1.0,0.0,6.188728000270203,ARIMA,30
43.61769729614258,43.641057489025336,0.0,1.0,0.0,1.696732000564225,XGBoost,30
3.750373575114338,3.8508482055520155,0.0,1.0,0.0,8.868172001093626,Hybrid,30
