experiment_id,policy,workload,seed,repetition,function,sla_compliance,cold_start_rate,p50_latency,p95_latency,p99_latency,p95_queue,container_seconds,invocation_count
adaptive_burst_001_303,adaptive,burst_001,303,3,hello,41.82,6.06,2357.82,8338.07,9922.05,8100.89,371.17,165
reactive_periodic_001_303,reactive,periodic_001,303,3,hello,69.41,5.88,709.33,2148.66,2332.81,1897.40,359.06,170
predictive_ema_periodic_001_303,predictive_ema,periodic_001,303,3,hello,63.91,5.92,793.77,2347.54,2772.06,2100.93,354.14,169
predictive_hybrid_periodic_001_303,predictive_hybrid,periodic_001,303,3,hello,67.39,5.43,698.50,1948.22,2310.09,1683.46,355.73,184
mpc_periodic_001_303,mpc,periodic_001,303,3,hello,56.52,6.21,932.32,2463.48,2695.51,2233.74,353.54,161
adaptive_periodic_001_303,adaptive,periodic_001,303,3,hello,54.30,5.30,933.24,2349.49,3227.77,2119.89,291.32,151
reactive_mixed_001_303,reactive,mixed_001,303,3,hello,74.39,13.41,688.36,1814.17,2340.42,1527.96,256.91,82
reactive_mixed_001_303,reactive,mixed_001,303,3,compute,66.00,8.00,662.24,1527.60,2161.25,1279.18,261.52,100
predictive_ema_mixed_001_303,predictive_ema,mixed_001,303,3,hello,72.29,13.25,670.81,1895.04,2171.97,1483.88,265.14,83
predictive_ema_mixed_001_303,predictive_ema,mixed_001,303,3,compute,69.74,14.47,675.74,2102.91,4371.18,1756.81,251.11,76
predictive_hybrid_mixed_001_303,predictive_hybrid,mixed_001,303,3,hello,72.04,8.60,732.45,1557.13,1713.50,1233.25,246.12,93
predictive_hybrid_mixed_001_303,predictive_hybrid,mixed_001,303,3,compute,73.75,11.25,741.16,1648.32,3014.47,1213.93,252.95,80
mpc_mixed_001_303,mpc,mixed_001,303,3,hello,91.85,5.93,480.62,1034.69,1181.83,731.58,269.39,135
adaptive_mixed_001_303,adaptive,mixed_001,303,3,hello,65.59,5.38,767.66,1828.30,2137.34,1495.41,150.41,93
adaptive_mixed_001_303,adaptive,mixed_001,303,3,compute,60.87,5.43,850.82,1751.11,2011.22,1438.03,148.51,92
reactive_burst_001_404,reactive,burst_001,404,4,hello,50.00,5.62,977.61,6842.98,7552.63,6600.37,343.63,178
predictive_ema_burst_001_404,predictive_ema,burst_001,404,4,hello,46.86,5.71,1234.36,8013.88,9514.43,7780.20,380.86,175
predictive_hybrid_burst_001_404,predictive_hybrid,burst_001,404,4,hello,44.57,5.71,1396.31,10946.22,12084.04,10716.44,399.28,175
mpc_burst_001_404,mpc,burst_001,404,4,hello,46.34,6.10,1311.72,8553.42,9268.87,8299.96,347.26,164
adaptive_burst_001_404,adaptive,burst_001,404,4,hello,35.10,6.62,2953.12,8308.11,9324.12,8071.80,335.45,151
reactive_periodic_001_404,reactive,periodic_001,404,4,hello,69.40,5.46,726.89,2378.40,2697.94,2118.04,358.45,183
predictive_ema_periodic_001_404,predictive_ema,periodic_001,404,4,hello,63.74,5.85,762.03,2171.03,2447.02,1887.81,361.19,171
predictive_hybrid_periodic_001_404,predictive_hybrid,periodic_001,404,4,hello,69.35,5.38,738.39,1862.37,2141.76,1584.72,358.17,186
mpc_periodic_001_404,mpc,periodic_001,404,4,hello,62.75,6.54,820.62,1989.58,2300.09,1713.98,354.11,153
adaptive_periodic_001_404,adaptive,periodic_001,404,4,hello,56.47,4.12,844.11,2230.48,2524.37,2005.99,237.55,170
reactive_mixed_001_404,reactive,mixed_001,404,4,compute,73.47,10.20,648.41,1550.71,1733.03,1222.62,285.44,98
reactive_mixed_001_404,reactive,mixed_001,404,4,hello,74.71,11.49,679.81,2210.47,2424.92,1722.39,250.71,87
predictive_ema_mixed_001_404,predictive_ema,mixed_001,404,4,hello,63.41,9.76,773.39,1864.04,2412.61,1590.58,212.53,82
predictive_ema_mixed_001_404,predictive_ema,mixed_001,404,4,compute,79.25,10.38,625.36,1661.92,1987.24,1340.26,280.74,106
predictive_hybrid_mixed_001_404,predictive_hybrid,mixed_001,404,4,hello,73.40,9.57,627.20,1440.40,1697.28,1119.31,270.71,94
predictive_hybrid_mixed_001_404,predictive_hybrid,mixed_001,404,4,compute,77.27,9.09,699.60,1478.87,1577.24,1185.11,215.66,88
mpc_mixed_001_404,mpc,mixed_001,404,4,hello,96.92,6.92,449.62,883.73,1245.25,667.90,275.70,130
adaptive_mixed_001_404,adaptive,mixed_001,404,4,hello,69.89,6.45,714.99,1581.05,2090.52,1311.27,178.44,93
adaptive_mixed_001_404,adaptive,mixed_001,404,4,compute,72.04,4.30,700.20,1665.31,1784.12,1296.23,145.61,93
reactive_burst_001_505,reactive,burst_001,505,5,hello,53.55,5.46,774.65,7192.98,7568.07,6813.02,353.88,183
predictive_ema_burst_001_505,predictive_ema,burst_001,505,5,hello,49.71,5.71,1008.12,7560.61,8581.05,7327.76,345.62,175
predictive_hybrid_burst_001_505,predictive_hybrid,burst_001,505,5,hello,52.51,5.59,845.12,6419.12,7862.51,6175.67,343.64,179
mpc_burst_001_505,mpc,burst_001,505,5,hello,47.65,5.88,1300.10,6602.50,7853.02,6363.40,343.52,170
adaptive_burst_001_505,adaptive,burst_001,505,5,hello,44.38,5.92,1498.29,7212.31,8071.94,6952.72,334.78,169
reactive_periodic_001_505,reactive,periodic_001,505,5,hello,69.54,5.75,722.20,2053.58,2400.79,1792.73,352.60,174
predictive_hybrid_periodic_001_505,predictive_hybrid,periodic_001,505,5,hello,40.00,9.09,1181.08,3684.07,3890.68,2899.30,319.13,110
