policy,workload,mean_p99,std_p99,mean_sla,std_sla,mean_cost,std_cost,mean_cs,mean_re
adaptive,burst_001,10545.518,2092.2722234379557,34.690000000000005,11.424793214758857,359.254,35.61119107808668,6.548,0.09671639439148288
adaptive,mixed_001,3167.42,1983.4691879969635,51.885000000000005,23.23169590117012,157.16199999999998,15.474729794804887,7.461,0.34046283640203817
adaptive,periodic_001,3055.098,310.271919241816,50.22,7.3525811794226374,253.62600000000003,21.595245541553805,4.83,0.1987148059436586
mpc,burst_001,9233.384,2783.6362044329717,40.632,17.53770709072312,346.84,7.055972647339283,6.553999999999999,0.11654927648474418
mpc,mixed_001,1429.155,345.0568600003966,90.79249999999999,5.6104211071897305,275.455,6.540196225394682,7.672499999999999,0.32967598957658584
mpc,periodic_001,2952.338,612.5556953208416,54.55800000000001,11.0109772499992,351.254,6.806146486816168,6.864,0.15509051240391797
predictive_ema,burst_001,12013.774000000001,7335.23269390481,43.854,9.290297627094624,388.51000000000005,72.95331246763233,6.118,0.11850381233040008
predictive_ema,mixed_001,553748.049,1740898.8999970532,50.239,30.317190008310465,203.613,91.3781525128773,30.6,0.20347552974746183
predictive_ema,periodic_001,2751.735,272.23280055863955,62.285,1.8806825002287468,357.7725,2.893399096794871,6.01,0.17410325710096528
predictive_hybrid,burst_001,10069.098000000002,3610.657079932959,43.398,13.072202186318878,355.83000000000004,24.384723701530824,6.18,0.12222965218413798
predictive_hybrid,mixed_001,2841.6349999999998,1235.9453089594574,67.602,9.721107390050213,228.53000000000003,29.2810359561725,12.314,0.2979853866034048
predictive_hybrid,periodic_001,3046.638,848.780635894811,54.922000000000004,14.024744917466412,345.002,16.886970421008034,7.064,0.15804252779240394
reactive,burst_001,9849.728,4812.046619715982,43.244,17.546534700618242,366.798,37.06059996816026,6.215999999999999,0.12207607149328045
reactive,mixed_001,3367.915,1837.4555319864965,61.19500000000001,17.057768676536277,247.971,23.585043966227598,13.899000000000001,0.24503654114467377
reactive,periodic_001,2820.6,494.34260938138834,63.464,10.392498737069928,354.448,4.431463640830189,6.328,0.17883170360141482
